study,subject_nr,gender,age,race,condition,bp_ts,ba_ts,bp_rec,ba_rec,bp_tj,ba_tj,feel_ts,feel_tj,avoid_ts,avoid_tj,EQ_mean
1,210,Male,19,White,bp_ts,0,0.25,0,0,0,0,4,3,3,1,2.3737373737373737
1,211,Female,20,White,ba_rec,0.25,0.25,0,0,0,0,3,3,1,1,2.772727272727273
1,212,Male,18,White,bp_rec,0.25,0.25,0.17,0,1.17,0.25,2,3,1,1,3.742424242424242
1,213,Male,20,White,bp_ts,0.50,0,0,0,0,0,5,NA,3,NA,3.1262626262626263
1,214,Female,19,White,ba_rec,0.25,0,0,0,0.17,0.17,4,2,1,1,1.7373737373737375
1,215,Female,19,White,bp_tj,1,1,1,0,1,1,2,4,1,1,2.8838383838383836
1,216,Female,19,White,ba_tj,0.25,0.25,0.17,0.17,0.17,0.17,4,4,1,1,1.6515151515151516
1,217,Male,21,"1,5",bp_rec,0.25,0,0,0,0.17,0,3,4,1,1,3.4393939393939394
1,218,Male,18,White,bp_ts,0,0,0,0,0,0,4,4,1,1,3.4393939393939394
1,219,Female,18,American Indian/Alaskan Native,bp_tj,NA,NA,0,0,0,0,4,4,1,1,2.95959595959596
1,220,Female,24,White,ba_ts,0.50,0.25,1,0.5,0.5,0,3,3,5,5,4.378787878787879
1,221,Male,21,Asian,bp_rec,1,1,1,1,1,0,4,4,1,1,3.0656565656565657
1,222,Female,19,White,ba_rec,0.50,0,0,0,0,0,4,3,3,1,3.186868686868687
1,223,Female,18,White,ba_tj,0,0,0,0,0.17,0.17,4,4,5,5,2.7373737373737375
1,224,Female,20,White,ba_rec,0,0,0.75,1,1,0,5,3,1,1,3.1363636363636362
1,225,Female,19,White,ba_ts,0.50,0.50,1,0,1,1,1,4,3,2,1.904040404040404
1,226,Female,19,White,ba_tj,0,0.25,0,0,1.5,1,5,4,1,1,2.7373737373737375
1,227,Male,19,Black/African American,ba_ts,0.50,0.50,0.5,0.5,1,1,2,2,1,1,2.287878787878788
1,228,Female,20,White,bp_tj,1,0.50,0.5,0.25,1,0.5,5,2,1,1,2.121212121212121
1,229,Male,18,White,bp_rec,1,1,1,0.5,1,1,4,4,4,5,2.893939393939394
1,230,Female,18,Asian,bp_ts,1,0,1,0,0,0,3,2,3,1,1.98989898989899
1,231,Male,18,White,bp_tj,1,1,1.17,1.17,0.17,1.17,4,4,1,1,3.9242424242424243
1,232,Female,18,White,bp_ts,1,1,0,0,0,0,4,3,3,1,3.272727272727273
1,233,Male,19,White,bp_rec,1,1,1,1,1,0,2,2,3,1,2.8282828282828283
1,234,Female,18,White,ba_tj,0.50,1,1,0.5,1,1,3,4,3,3,2.383838383838384
1,235,Female,18,White,ba_ts,0.50,0.50,1,0.5,0.5,0.5,1,1,1,1,2.6414141414141414
1,236,Female,22,Hispanic,ba_rec,1,0.50,1,0.5,1,1,5,4,4,1,3.282828282828283
2,1,Female,31,Black/African American,bp_rec,NA,NA,NA,NA,NA,NA,4,3,5,5,4.141414141414142
2,2,Male,36,White,bp_ts,0,NA,NA,NA,NA,NA,3,5,2,2,4
2,3,Female,69,White,ba_ts,NA,0.5,NA,NA,NA,NA,3,4,3,1,3
2,4,Female,33,White,bp_rec,NA,NA,NA,NA,NA,NA,4,4,1,1,3.1818181818181817
2,5,Male,34,White,bp_ts,0,NA,NA,NA,NA,NA,7,7,5,5,2.515151515151515
2,6,Female,28,White,ba_ts,NA,1,NA,NA,NA,NA,2,1,1,1,3.3535353535353534
2,7,Male,27,"1,3,7",ba_rec,NA,NA,NA,0.57,NA,NA,4,4,1,1,1.6212121212121213
2,8,Female,43,White,ba_tj,NA,NA,NA,NA,NA,1,5,4,1,1,3.904040404040404
2,9,Female,32,Black/African American,bp_tj,NA,NA,NA,NA,NA,NA,4,2,1,3,4.3232323232323235
2,10,Male,30,White,ba_ts,NA,0.25,NA,NA,NA,NA,2,2,1,1,3.0353535353535355
2,11,Female,40,White,bp_rec,NA,NA,1,NA,NA,NA,5,2,1,1,2.3383838383838382
2,12,Female,59,White,ba_rec,NA,NA,NA,NA,NA,NA,7,4,1,1,5.202020202020202
2,13,Male,32,White,bp_tj,NA,NA,NA,NA,1,NA,2,3,1,1,2.6464646464646466
2,14,Female,25,Asian,bp_ts,0.50,NA,NA,NA,NA,NA,5,2,3,1,2.1515151515151514
2,15,Male,69,White,ba_tj,NA,NA,NA,NA,NA,0.5,5,5,3,3,2.404040404040404
2,16,Male,24,White,bp_ts,0.50,NA,NA,NA,NA,NA,2,2,1,1,2.3686868686868685
